2022-03-23 14:17:43  星际战犯 | 旧值:100 | 当前值:90 | 更新值:-10 | 手动
2022-03-23 14:17:43  星际战犯 | 旧值:90 | 当前值:80 | 更新值:-10 | 手动
2022-03-23 14:17:45  星际战犯 | 旧值:80 | 当前值:70 | 更新值:-10 | 手动
2022-03-23 14:17:45  星际战犯 | 旧值:80 | 当前值:70 | 更新值:-10 | 手动 - 天赋平衡
2022-03-23 14:17:45  星际战犯 | 旧值:70 | 当前值:67 | 更新值:-3 | 即时效果 士气
2022-03-23 14:17:56  神秘学者 | 旧值:100 | 当前值:97 | 更新值:-3 | 前进0格后
2022-03-23 14:18:05  星际战犯 | 旧值:67 | 当前值:69 | 更新值:2 | 即时效果 士气
2022-03-23 14:22:48  星际战犯 | 旧值:100 | 当前值:97 | 更新值:-3 | 即时效果 士气
2022-03-23 14:22:53  神秘学者 | 旧值:100 | 当前值:98 | 更新值:-2 | 即时效果 士气
2022-03-23 14:58:32  星际战犯 | 旧值:100 | 当前值:97 | 更新值:-3 | 前进0格后
2022-03-23 14:59:27  神秘学者 | 旧值:100 | 当前值:100 | 更新值:6 | 即时效果 士气
2022-03-23 15:00:58  神秘学者 | 旧值:100 | 当前值:100 | 更新值:6 | 即时效果 士气
2022-03-23 15:04:20  神秘学者 | 旧值:100 | 当前值:97 | 更新值:-3 | 前进0格后
2022-03-23 15:04:55  星际战犯 | 旧值:100 | 当前值:100 | 更新值:3 | 即时效果 士气
2022-03-23 15:04:55  神秘学者 | 旧值:97 | 当前值:100 | 更新值:3 | 即时效果 士气
2022-03-23 15:04:55  神秘学者 | 旧值:100 | 当前值:100 | 更新值:3 | 即时效果 士气
2022-03-23 15:07:26  神秘学者 | 旧值:100 | 当前值:90 | 更新值:-10 | buff 持续回复士气
2022-03-23 15:09:14  神秘学者 | 旧值:100 | 当前值:100 | 更新值:3 | 击杀-队友
2022-03-23 15:09:14  神秘学者 | 旧值:100 | 当前值:100 | 更新值:10 | 击杀-本人
2022-03-23 15:09:14  神秘学者 | 旧值:100 | 当前值:100 | 更新值:3 | 击杀-队友
2022-03-23 15:09:59  星际战犯 | 旧值:100 | 当前值:100 | 更新值:1 | 即时效果 士气
2022-03-23 15:09:59  神秘学者 | 旧值:100 | 当前值:100 | 更新值:1 | 即时效果 士气
2022-03-23 15:09:59  神秘学者 | 旧值:100 | 当前值:100 | 更新值:1 | 即时效果 士气
2022-03-23 15:11:08  星际战犯 | 旧值:100 | 当前值:100 | 更新值:1 | 即时效果 士气
2022-03-23 15:11:08  神秘学者 | 旧值:100 | 当前值:100 | 更新值:1 | 即时效果 士气
2022-03-23 15:11:08  神秘学者 | 旧值:100 | 当前值:100 | 更新值:1 | 即时效果 士气
2022-03-23 15:11:23  神秘学者 | 旧值:100 | 当前值:90 | 更新值:-10 | buff 持续回复士气
2022-03-23 15:11:27  神秘学者 | 旧值:100 | 当前值:90 | 更新值:-10 | buff 持续回复士气
2022-03-23 15:11:36  星际战犯 | 旧值:100 | 当前值:90 | 更新值:-10 | buff 持续回复士气
2022-03-23 15:11:37  神秘学者 | 旧值:90 | 当前值:80 | 更新值:-10 | buff 持续回复士气
2022-03-23 15:11:41  神秘学者 | 旧值:90 | 当前值:84 | 更新值:-6 | 被爆击-本人
2022-03-23 15:11:41  星际战犯 | 旧值:90 | 当前值:88 | 更新值:-2 | 被爆击-队友
2022-03-23 15:11:41  神秘学者 | 旧值:80 | 当前值:78 | 更新值:-2 | 被爆击-队友
2022-03-23 15:11:46  神秘学者 | 旧值:84 | 当前值:74 | 更新值:-10 | buff 持续回复士气
2022-03-23 15:11:46  神秘学者 | 旧值:84 | 当前值:74 | 更新值:-10 | buff 持续回复士气 - 天赋平衡
2022-03-23 16:09:23  双面间谍 | 旧值:100 | 当前值:100 | 更新值:5 | 即时效果 士气
2022-03-23 16:33:56  双面间谍 | 旧值:100 | 当前值:94 | 更新值:-6 | 被爆击-本人
2022-03-23 16:33:56  神秘学者 | 旧值:100 | 当前值:98 | 更新值:-2 | 被爆击-队友
2022-03-23 16:58:54  神秘学者 | 旧值:100 | 当前值:97 | 更新值:-3 | 前进0格后
2022-03-23 16:59:38  双面间谍 | 旧值:100 | 当前值:100 | 更新值:8 | 暴击-本人
2022-03-23 16:59:38  神秘学者 | 旧值:97 | 当前值:99 | 更新值:2 | 暴击-队友
2022-03-23 17:13:19  神秘学者 | 旧值:100 | 当前值:97 | 更新值:-3 | 前进0格后
2022-03-23 17:13:37  双面间谍 | 旧值:100 | 当前值:100 | 更新值:5 | 即时效果 士气
2022-03-23 17:14:31  双面间谍 | 旧值:100 | 当前值:100 | 更新值:3 | 击杀-队友
2022-03-23 17:14:31  双面间谍 | 旧值:100 | 当前值:100 | 更新值:10 | 击杀-本人
2022-03-23 17:16:26  双面间谍 | 旧值:100 | 当前值:100 | 更新值:5 | 即时效果 士气
2022-03-23 17:18:34  双面间谍 | 旧值:100 | 当前值:90 | 更新值:-10 | buff 持续回复士气
2022-03-23 17:18:46  双面间谍 | 旧值:90 | 当前值:93 | 更新值:3 | 击杀-队友
2022-03-23 17:18:46  双面间谍 | 旧值:93 | 当前值:100 | 更新值:10 | 击杀-本人
2022-03-23 17:19:15  双面间谍 | 旧值:100 | 当前值:90 | 更新值:-10 | buff 持续回复士气
2022-03-23 17:20:10  双面间谍 | 旧值:90 | 当前值:92 | 更新值:2 | 即时效果 士气
2022-03-23 17:20:12  神秘学者 | 旧值:100 | 当前值:90 | 更新值:-10 | buff 持续回复士气
2022-03-23 17:20:17  双面间谍 | 旧值:92 | 当前值:82 | 更新值:-10 | buff 持续回复士气
2022-03-23 17:20:59  双面间谍 | 旧值:100 | 当前值:100 | 更新值:5 | 即时效果 士气
2022-03-23 17:21:26  双面间谍 | 旧值:100 | 当前值:100 | 更新值:2 | 即时效果 士气
2022-03-23 17:21:30  双面间谍 | 旧值:100 | 当前值:90 | 更新值:-10 | buff 持续回复士气
2022-03-23 17:21:34  双面间谍 | 旧值:90 | 当前值:98 | 更新值:8 | 暴击-本人
2022-03-23 17:21:34  神秘学者 | 旧值:100 | 当前值:100 | 更新值:2 | 暴击-队友
2022-03-23 17:21:36  双面间谍 | 旧值:98 | 当前值:100 | 更新值:2 | 即时效果 士气
2022-03-23 17:22:13  双面间谍 | 旧值:100 | 当前值:97 | 更新值:-3 | 前进0格后
2022-03-23 17:22:18  双面间谍 | 旧值:97 | 当前值:100 | 更新值:5 | 即时效果 士气
2022-03-23 17:22:58  双面间谍 | 旧值:100 | 当前值:100 | 更新值:2 | 即时效果 士气
2022-03-23 17:23:06  双面间谍 | 旧值:100 | 当前值:90 | 更新值:-10 | buff 持续回复士气
2022-03-23 17:23:12  双面间谍 | 旧值:90 | 当前值:92 | 更新值:2 | 即时效果 士气
2022-03-23 17:23:14  神秘学者 | 旧值:100 | 当前值:90 | 更新值:-10 | buff 持续回复士气
2022-03-23 17:23:58  双面间谍 | 旧值:92 | 当前值:82 | 更新值:-10 | buff 持续回复士气
2022-03-23 17:24:02  双面间谍 | 旧值:82 | 当前值:85 | 更新值:3 | 击杀-队友
2022-03-23 17:24:02  双面间谍 | 旧值:85 | 当前值:95 | 更新值:10 | 击杀-本人
2022-03-23 17:24:07  神秘学者 | 旧值:90 | 当前值:80 | 更新值:-10 | buff 持续回复士气
2022-03-23 17:24:09  双面间谍 | 旧值:95 | 当前值:85 | 更新值:-10 | buff 持续回复士气
2022-03-23 17:25:06  双面间谍 | 旧值:85 | 当前值:87 | 更新值:2 | 即时效果 士气
2022-03-23 17:25:57  神秘学者 | 旧值:80 | 当前值:70 | 更新值:-10 | buff 持续回复士气
2022-03-23 17:25:57  神秘学者 | 旧值:80 | 当前值:70 | 更新值:-10 | buff 持续回复士气 - 天赋平衡
2022-03-23 17:26:29  双面间谍 | 旧值:87 | 当前值:95 | 更新值:8 | 暴击-本人
2022-03-23 17:26:29  神秘学者 | 旧值:70 | 当前值:72 | 更新值:2 | 暴击-队友
2022-03-23 17:26:31  双面间谍 | 旧值:95 | 当前值:97 | 更新值:2 | 即时效果 士气
2022-03-23 17:35:46  双面间谍 | 旧值:100 | 当前值:97 | 更新值:-3 | 前进0格后
2022-03-23 17:35:58  双面间谍 | 旧值:97 | 当前值:100 | 更新值:5 | 即时效果 士气
2022-03-23 17:37:08  双面间谍 | 旧值:100 | 当前值:100 | 更新值:2 | 即时效果 士气
2022-03-23 17:43:47  双面间谍 | 旧值:100 | 当前值:100 | 更新值:5 | 即时效果 士气
2022-03-23 17:44:25  双面间谍 | 旧值:100 | 当前值:100 | 更新值:2 | 即时效果 士气
2022-03-23 17:44:47  双面间谍 | 旧值:100 | 当前值:90 | 更新值:-10 | buff 持续回复士气
2022-03-23 17:45:50  双面间谍 | 旧值:90 | 当前值:93 | 更新值:3 | 击杀-队友
2022-03-23 17:45:50  双面间谍 | 旧值:93 | 当前值:100 | 更新值:10 | 击杀-本人
2022-03-23 17:47:20  双面间谍 | 旧值:100 | 当前值:97 | 更新值:-3 | 前进0格后
2022-03-23 17:47:27  双面间谍 | 旧值:97 | 当前值:100 | 更新值:5 | 即时效果 士气
2022-03-23 17:48:27  神秘学者 | 旧值:100 | 当前值:95 | 更新值:-5 | 即时效果 士气
2022-03-23 17:50:38  双面间谍 | 旧值:100 | 当前值:100 | 更新值:5 | 即时效果 士气
2022-03-23 17:50:55  双面间谍 | 旧值:100 | 当前值:100 | 更新值:8 | 暴击-本人
2022-03-23 17:50:55  神秘学者 | 旧值:100 | 当前值:100 | 更新值:2 | 暴击-队友
2022-03-23 17:51:43  双面间谍 | 旧值:100 | 当前值:100 | 更新值:2 | 即时效果 士气
2022-03-23 17:51:51  双面间谍 | 旧值:100 | 当前值:90 | 更新值:-10 | buff 持续回复士气
2022-03-23 17:52:05  双面间谍 | 旧值:90 | 当前值:92 | 更新值:2 | 即时效果 士气
2022-03-23 17:52:15  双面间谍 | 旧值:92 | 当前值:82 | 更新值:-10 | buff 持续回复士气
2022-03-23 17:52:19  双面间谍 | 旧值:82 | 当前值:84 | 更新值:2 | 即时效果 士气
2022-03-23 17:52:21  神秘学者 | 旧值:100 | 当前值:90 | 更新值:-10 | buff 持续回复士气
